tokens	ner_tags	text
['Pxleyes', 'Top', '50', 'Photography', 'Contest', 'Pictures', 'of', 'August', '2010', '...', '[URL]', '#photography']	['B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	Pxleyes Top 50 Photography Contest Pictures of August 2010 ... [URL] #photography
"['4Dbling', ""'s"", 'place', 'til', 'monday', ',', 'party', 'party', 'party', '.', '&lt;', '3']"	['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	4Dbling 's place til monday , party party party . &lt; 3
"['watching', 'the', 'VMA', 'pre-show', 'again', 'lol', 'it', 'was', ""n't"", 'even', 'a', 'good', 'show', 'the', 'first', 'time', '...', 'so', 'bored', '!']"	['O', 'O', 'B-creative_work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	watching the VMA pre-show again lol it was n't even a good show the first time ... so bored !
"['@Suzie55', 'whispering', 'cause', 'I', 'may', 'have', 'had', '1', 'too', 'many', 'vodka', ""'s"", 'last', 'night', 'and', 'am', 'a', 'lil', 'fragile', ',', 'hold', 'me', '?']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	@Suzie55 whispering cause I may have had 1 too many vodka 's last night and am a lil fragile , hold me ?
"['MetroPCS', 'has', 'the', 'worst', 'customer', 'service', 'I', ""'ve"", 'experienced', 'in', 'months', '(', 'trying', 'to', 'help', 'someone', 'order', 'a', 'phone', ')', '#metropcs', '#fail']"	['B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	MetroPCS has the worst customer service I 've experienced in months ( trying to help someone order a phone ) #metropcs #fail
['Cant', 'wait', 'for', 'the', 'ravens', 'game', 'tomorrow', '....', 'go', 'ray', 'rice', '!!!!!!!']	['O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O']	Cant wait for the ravens game tomorrow .... go ray rice !!!!!!!
['@SnoopDogg', 'hey', 'snoop', 'my', 'wife', 'Cath', 'is', '30', 'today', ',', 'any', 'chance', 'of', 'a', 'shout', 'out', 'to', 'her', ',']	['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	@SnoopDogg hey snoop my wife Cath is 30 today , any chance of a shout out to her ,
"['Today', 'I', 'got', 'a', 'promotion', 'at', 'work', ',', 'and', 'tomorrow', 'I', ""'m"", 'going', 'home', 'to', 'Wisconsin', 'for', 'a', 'few', 'days', '.', 'So', 'content', 'with', 'life', 'right', 'now', '.', ':)']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	Today I got a promotion at work , and tomorrow I 'm going home to Wisconsin for a few days . So content with life right now . :)
['Bonfire', 'tonite', '.', 'All', 'are', 'welcome', ',', 'joe', 'included']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']	Bonfire tonite . All are welcome , joe included
"['i', 'want', 'a', 'bath', 'but', 'do', ""n't"", 'have', 'a', 'bath', ',', 'shut', 'up', ',', 'sam', ""'s"", 'coming', 'tomorrow', 'and', 'steve', 'and', 'tanya', 'will', 'be', 'round', 'at', '10am', 'so', 'go', 'away', 'you', 'mean', 'people']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	i want a bath but do n't have a bath , shut up , sam 's coming tomorrow and steve and tanya will be round at 10am so go away you mean people
"['Not', 'only', 'is', 'it', '#BattlestarGalactica', ""'s"", '32nd', 'Anniversary', ',', 'tonite', 'is', 'the', '3rd', 'season', 'premiere', 'of', '#StarWars', '#TheCloneWars', '!!']"	['O', 'O', 'O', 'O', 'B-creative_work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative_work', 'I-creative_work', 'O']	Not only is it #BattlestarGalactica 's 32nd Anniversary , tonite is the 3rd season premiere of #StarWars #TheCloneWars !!
"['Yo', 'kids', '!', 'Today', ""'s"", 'ACF', 'Friday', 'Large', 'Group', 'is', 'at', 'PITT', 'University', '!', 'It', ""'s"", 'at', 'Cathedral', 'of', 'Learning', 'G24', 'at', '7pm', '!', 'Be', 'sure', 'to', 'check', 'it', 'out', '!']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	Yo kids ! Today 's ACF Friday Large Group is at PITT University ! It 's at Cathedral of Learning G24 at 7pm ! Be sure to check it out !
['@Strigy', 'got', 'mine', 'in', 'bbt', 'aintree', 'today', '.', 'Played', 'table', 'tennis', 'on', 'it', 'in', 'store', '!', 'V', 'impressed', '.', 'Did', 'you', 'get', 'analogue', 'controller', '2', '?']	['O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	@Strigy got mine in bbt aintree today . Played table tennis on it in store ! V impressed . Did you get analogue controller 2 ?
"['RT', '@Luq_Combs', ':', 'Funniest', 'thing', 'I', 'heard', 'this', 'week', '.', 'Wingo', 'tellin', 'me', 'and', 'wood', '.', '""', 'I', ""'m"", 'scared', '""', '#pow#pow#pow@Cowboy_Wingo']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	"RT @Luq_Combs : Funniest thing I heard this week . Wingo tellin me and wood . "" I 'm scared "" #pow#pow#pow@Cowboy_Wingo"
['Time', 'Warner', 'Cable', 'Boycotting', 'Epix', 'Movie', 'Channel', 'Because', 'It', 'Did', 'A', 'Deal', 'With', 'Netflix', '[URL]']	['B-corporation', 'I-corporation', 'I-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O']	Time Warner Cable Boycotting Epix Movie Channel Because It Did A Deal With Netflix [URL]
['Soulja', 'Boy', '|', 'TheDeAndreWay', '.', 'com', '-', 'The', 'DeAndre', 'Way', 'in', 'stores', 'Nov', '.', '2', ',', '2010', '[URL]', 'via', '@SouljaBoy']	['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	Soulja Boy | TheDeAndreWay . com - The DeAndre Way in stores Nov . 2 , 2010 [URL] via @SouljaBoy
